FinancialyearID,GroupingName,RegionName,DistrictName,MuncipalityName,GMName,Date,TotalAssesments,TotalDemand,TotalCollection,TotalBal,%Collection
2020-2021,Corporation,THANJAVUR ,THANJAVUR,THANJAVUR ,SUC Charges,2021-04-01T04:05:47.913,47037.0,16942461.0,10006477.0,6935984.0,59.06
2020-2021,Corporation,THANJAVUR ,THANJAVUR,THANJAVUR ,UGD,2021-04-01T11:21:12.87,24004.0,107526176.0,14004255.0,93521921.0,13.02
2020-2021,Corporation,THANJAVUR ,THANJAVUR,THANJAVUR ,VLTTax,2021-04-01T04:04:54.967,2709.0,33098922.0,4724978.0,28373944.0,14.28
2020-2021,Corporation,THANJAVUR ,THANJAVUR,THANJAVUR ,WaterSupply,2021-04-01T04:05:10.96,29930.0,87363540.0,22663632.0,64699908.0,25.94
2020-2021,Corporation,THOOTHUKUDI ,THOOTHUKUDI,THOOTHUKUDI ,NonTax,2021-04-01T04:05:13.13,486.0,76274481.35,14046877.85,62227603.5,18.42
2020-2021,Corporation,THOOTHUKUDI ,THOOTHUKUDI,THOOTHUKUDI ,ProfessionTax,2021-04-01T04:05:16.76,6449.0,82543818.0,41429197.0,41114621.0,50.19
2020-2021,Corporation,THOOTHUKUDI ,THOOTHUKUDI,THOOTHUKUDI ,PropertyTax,2021-04-01T04:04:53.097,149075.0,365652505.01,195111517.29,170540987.72,53.36
2020-2021,Corporation,THOOTHUKUDI ,THOOTHUKUDI,THOOTHUKUDI ,SUC Charges,2021-04-01T04:05:47.913,140146.0,40774178.24,24337131.71,16437046.53,59.69
2020-2021,Corporation,THOOTHUKUDI ,THOOTHUKUDI,THOOTHUKUDI ,VLTTax,2021-04-01T04:04:54.967,7013.0,51856576.0,12892165.0,38964411.0,24.86
2020-2021,Corporation,THOOTHUKUDI ,THOOTHUKUDI,THOOTHUKUDI ,WaterSupply,2021-04-01T04:05:05.38,82867.0,319773965.0,141845368.0,177928597.0,44.36
2020-2021,Corporation,TIRUCHIRAPPALLI ,TIRUCHIRAPPALLI,TIRUCHIRAPPALLI ,NonTax,2021-04-01T04:05:14.22,2393.0,526125261.0,86005430.0,440119831.0,16.35
2020-2021,Corporation,TIRUCHIRAPPALLI ,TIRUCHIRAPPALLI,TIRUCHIRAPPALLI ,ProfessionTax,2021-04-01T04:05:16.76,25346.0,228006612.0,144618287.0,83388325.0,63.43
2020-2021,Corporation,TIRUCHIRAPPALLI ,TIRUCHIRAPPALLI,TIRUCHIRAPPALLI ,PropertyTax,2021-04-01T04:04:53.097,228057.0,1148816530.0,530811464.0,618005066.0,46.21
2020-2021,Corporation,TIRUCHIRAPPALLI ,TIRUCHIRAPPALLI,TIRUCHIRAPPALLI ,SUC Charges,2021-04-01T04:05:42.227,219660.0,55286556.0,33035574.0,22250982.0,59.75
2020-2021,Corporation,TIRUCHIRAPPALLI ,TIRUCHIRAPPALLI,TIRUCHIRAPPALLI ,UGD,2021-04-01T11:21:12.87,63244.0,147761381.0,31390018.0,116371363.0,21.24
2020-2021,Corporation,TIRUCHIRAPPALLI ,TIRUCHIRAPPALLI,TIRUCHIRAPPALLI ,VLTTax,2021-04-01T04:04:54.967,15012.0,119593326.5,36991241.0,82602085.5,30.93
2020-2021,Corporation,TIRUCHIRAPPALLI ,TIRUCHIRAPPALLI,TIRUCHIRAPPALLI ,WaterSupply,2021-04-01T04:05:10.96,119618.0,494050924.0,207247835.0,286803089.0,41.95
2020-2021,Corporation,TIRUNELVELI ,TIRUNELVELI,TIRUNELVELI ,NonTax,2021-04-01T04:05:14.22,1479.0,86797528.5,12535303.0,74262225.5,14.44
